nichei,fiti,nichef,fitf,mu1,mu2,k1,w,h2,theta,sigma,ext.time,f.ext
1,0.999999840095998,2.81162261542776,0.999999755853939,-0.438156947845774,-1.507637,-1.507637,0.2,1,0.4,1.507637,1,8,0.001
2,0.981994696007202,15.333463991831,0.99980490918806,-0.43886518934795,-1.507637,-1.2061096,0.2,1,0.4,1.507637,1,8,0.001
3,0.929901132416498,-6.22322202399039,0.997521609885236,-0.46994056059733,-1.507637,-0.9045822,0.2,1,0.4,1.507637,1,6,0.001
4,0.84914691109614,-3.10511373062565,0.994161782525537,-0.475400474471499,-1.507637,-0.6030548,0.2,1,0.4,1.507637,1,6,0.001
5,0.747734320087369,-2.38739862264916,0.989519877767595,-0.482236161361659,-1.507637,-0.3015274,0.2,1,0.4,1.507637,1,6,0.001
6,0.634936389751631,-2.21661596091302,0.984034748569195,-0.489053866425536,-1.507637,0,0.2,1,0.4,1.507637,1,6,0.001
7,0.51991403924883,-2.38739862264916,0.978246816665321,-0.494643723876721,-1.507637,0.3015274,0.2,1,0.4,1.507637,1,6,0.001
8,0.410536045326947,-3.10511373062565,0.972640367703826,-0.498268835225387,-1.507637,0.6030548,0.2,1,0.4,1.507637,1,6,0.001
9,0.312600355146573,-6.22322202399039,0.988889384601331,-0.455107826699908,-1.507637,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
10,0.229533491403013,15.333463991831,0.987576954990562,-0.45473460468482,-1.507637,1.2061096,0.2,1,0.4,1.507637,1,8,0.001
11,0.162525339303325,2.81162261542776,0.986655403541147,-0.45344136590679,-1.507637,1.507637,0.2,1,0.4,1.507637,1,8,0.001
12,0.981994696007202,1.99531423593258,0.999845054481438,-0.434945845180584,-1.2061096,-1.507637,0.2,1,0.4,1.507637,1,8,0.001
13,0.999999840095998,10.8816449338473,0.999999782149635,-0.434832755912159,-1.2061096,-1.2061096,0.2,1,0.4,1.507637,1,8,0.001
14,0.981994696007202,-4.41641187181446,0.999782785006286,-0.435663455578616,-1.2061096,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
15,0.929901132416498,-2.20359503331299,0.999082422287535,-0.437425808303881,-1.2061096,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
16,0.84914691109614,-1.69425670162102,0.99390981285253,-0.462248307840623,-1.2061096,-0.3015274,0.2,1,0.4,1.507637,1,6,0.001
17,0.747734320087369,-1.57305797660623,0.989384802320869,-0.468126270668174,-1.2061096,0,0.2,1,0.4,1.507637,1,6,0.001
18,0.634936389751631,-1.69425670162102,0.984262945150438,-0.47357382009281,-1.2061096,0.3015274,0.2,1,0.4,1.507637,1,6,0.001
19,0.51991403924883,-2.20359503331299,0.992788426972409,-0.447056011412471,-1.2061096,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
20,0.410536045326947,-4.41641187181446,0.991198858752937,-0.448076770836548,-1.2061096,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
21,0.312600355146573,10.8816449338473,0.989894351999863,-0.448190624574322,-1.2061096,1.2061096,0.2,1,0.4,1.507637,1,8,0.001
22,0.229533491403013,1.99531423593258,0.988932284654866,-0.447533797009613,-1.2061096,1.507637,0.2,1,0.4,1.507637,1,8,0.001
23,0.929901132416498,1.36040771854744,0.999788833987514,-0.429811002328725,-0.9045822,-1.507637,0.2,1,0.4,1.507637,1,10,0.001
24,0.981994696007202,7.41911899985998,0.999818815728417,-0.432255975969753,-0.9045822,-1.2061096,0.2,1,0.4,1.507637,1,8,0.001
25,0.999999840095998,-3.01111508678873,0.999999805663329,-0.432256201895158,-0.9045822,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
26,0.981994696007202,-1.50241382429202,0.999765778252384,-0.433073136754883,-0.9045822,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
27,0.929901132416498,-1.15514631859913,0.999040219093256,-0.434661808301134,-0.9045822,-0.3015274,0.2,1,0.4,1.507637,1,8,0.001
28,0.84914691109614,-1.07251287770095,0.997865468374896,-0.436761685938617,-0.9045822,0,0.2,1,0.4,1.507637,1,8,0.001
29,0.747734320087369,-1.15514631859913,0.996390461380367,-0.438955548111729,-0.9045822,0.3015274,0.2,1,0.4,1.507637,1,8,0.001
30,0.634936389751631,-1.50241382429202,0.994812440360948,-0.440822270998048,-0.9045822,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
31,0.51991403924883,-3.01111508678873,0.993315332844052,-0.442074392238001,-0.9045822,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
32,0.410536045326947,7.41911899985998,0.992033630603536,-0.442618101102635,-0.9045822,1.2061096,0.2,1,0.4,1.507637,1,8,0.001
33,0.312600355146573,1.36040771854744,0.996967906532319,-0.434155631169886,-0.9045822,1.507637,0.2,1,0.4,1.507637,1,10,0.001
34,0.84914691109614,0.906903063272335,0.999529203951446,-0.429704142669722,-0.6030548,-1.507637,0.2,1,0.4,1.507637,1,10,0.001
35,0.929901132416498,4.94588618986903,0.999271823579286,-0.431052278302191,-0.6030548,-1.2061096,0.2,1,0.4,1.507637,1,8,0.001
36,0.981994696007202,-2.00733166891322,0.999794395700159,-0.430432374653002,-0.6030548,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
37,0.999999840095998,-1.00157010356276,0.999999824193377,-0.430420562680511,-0.6030548,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
38,0.981994696007202,-0.770067473583497,0.999755723191968,-0.431118126413317,-0.6030548,-0.3015274,0.2,1,0.4,1.507637,1,8,0.001
39,0.929901132416498,-0.714980664197185,0.999029402424044,-0.432454273197829,-0.6030548,0,0.2,1,0.4,1.507637,1,8,0.001
40,0.84914691109614,-0.770067473583497,0.997910301743316,-0.434155068837431,-0.6030548,0.3015274,0.2,1,0.4,1.507637,1,8,0.001
41,0.747734320087369,-1.00157010356277,0.996572741572317,-0.435846499415983,-0.6030548,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
42,0.634936389751631,-2.00733166891322,0.995209347427641,-0.437211042603626,-0.6030548,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
43,0.51991403924883,4.94588618986903,0.997940316882807,-0.432514577133541,-0.6030548,1.2061096,0.2,1,0.4,1.507637,1,10,0.001
44,0.410536045326947,0.906903063272335,0.997629481885463,-0.432600010025788,-0.6030548,1.507637,0.2,1,0.4,1.507637,1,10,0.001
45,0.747734320087369,0.634800270107275,0.999176620396853,-0.429940867906105,-0.3015274,-1.507637,0.2,1,0.4,1.507637,1,10,0.001
46,0.84914691109614,3.46194650387446,0.999448549585793,-0.429609612793586,-0.3015274,-1.2061096,0.2,1,0.4,1.507637,1,10,0.001
